label;meanSVMAcc;meanXAcc;meanYAcc;meanZAcc;maxSVMAcc;maxXAcc;maxYAcc;maxZAcc;minSVMAcc;minXAcc;minYAcc;minZAcc;stdSVMAcc;stdXAcc;stdYAcc;stdZAcc;meanPeak
2;515.18;476.61;16.895;-74.566;1489.2;1653;97.025;44.081;26.318;-204.11;-35.345;-240.95;503.59;597.25;27.821;80.064;1447
2;320.13;259.83;8.2728;-30.761;1485.2;1649.6;67.664;44.774;15.675;-209.9;-18.419;-175.58;440.58;504.12;19.73;63.516;1485.2
2;496.1;459.1;18.304;-36.293;1447.5;1592.2;55.598;58.638;30.622;-214.79;-9.8097;-135.01;443.58;521.12;20.418;56.182;1447.5
2;364.23;316.36;18.116;-16.374;998.11;1056;73.546;78.694;16.318;-245.5;-43.933;-137.9;298.95;355.44;26.522;60.741;998.11
2;478.3;445.27;34.817;-50.497;1589.9;1763;143.96;48.764;12.405;-219.72;-11.447;-194.21;509.2;606.53;41.304;63.321;1456.8
0;335.02;336.41;-24.923;37.048;455.52;459.96;16.657;81.817;105.07;146.39;-68.4;-25.359;65.88;60.537;21.791;27.986;455.52
0;348.67;349.92;-15.607;39.998;457.44;455.17;13.923;101.19;153.78;185.15;-47.3;-83.399;62.336;57.369;18.076;40.519;457.44
0;348.15;351.03;-29.199;27.725;463.32;467.02;18.058;93.857;130.07;195.73;-77.442;-57.959;62.803;59.2;20.093;37.993;427.16
0;333.24;335.13;-23.862;34.775;452.03;455.3;4.26;84.732;119.78;167.9;-75.621;-32.058;63.858;56.196;21.982;27.837;452.03
0;350.46;352.9;-10.798;40.763;442.2;448.9;21.803;88.119;158.06;200.3;-46.76;-50.266;55.292;50.283;16.593;33.564;419.16
0;343.36;347.35;-28.299;19.072;430.14;438.72;8.1084;83.782;120.05;178.75;-67.69;-43.495;53.998;46.223;15.82;32.024;396.73
0;340.24;343.81;-15.606;33.451;426.11;431.62;15.706;78.312;118.87;163.11;-45.673;-1.2128;55.008;47.643;18.063;19.236;403.5
0;347.11;350.3;21.954;-6.5267;389.3;394.67;58.937;35.982;128.89;181.63;-6.2014;-59.308;49.166;37.94;21.01;33.349;384.52
0;350.26;353.35;-21.32;24.966;412.02;418.23;23.836;70.999;114.2;146.85;-51.047;-55.268;51.366;43.807;21.778;28.438;391.08
0;342.39;345.3;-15.455;19.038;446.9;451.46;23.206;66.162;109.13;149.61;-65.353;-32.956;61.823;56.974;28.306;27.122;407.32
0;339.64;341.63;-10.842;31.008;461.87;469.92;25.319;85.7;124.89;173.7;-39.857;-67.975;66.401;60.312;19.257;34.773;461.87
0;354.05;354.92;-25.872;52.376;436.69;440.84;16.117;116.48;161.54;224.75;-64.513;-15.721;51.111;46.505;19.97;32.596;424.58
0;342.74;344.33;-14.169;38.781;453.94;460.17;10.58;118.66;109.89;156.25;-59.362;-35.006;60.516;52.878;18.235;41.721;453.94
0;339.64;342.09;-18.648;27.879;478.44;480.36;12.545;105.39;102.76;144.65;-39.231;-76.161;74.993;69.708;12.501;39.948;478.44
0;342.77;343.52;-27.103;37.994;446.93;451.19;13.848;102;135.32;182.48;-73.798;-43.606;63.8;58.063;22.144;33.721;446.93
0;351.57;353.09;-20.801;21.101;457.79;480.34;4.5742;103.05;113.77;150.78;-61.481;-78.706;53.783;50.628;18.328;49.593;417.64
0;345.04;344.98;-29.758;22.582;428.01;431.68;-10.455;105.44;130.17;186.48;-65.303;-91.32;62.411;52.882;14.771;56.291;428.01
0;359.28;361.24;-37.516;10.448;463.9;464.73;5.039;78.304;148.38;188.68;-85.626;-95.999;67.83;66.768;19.338;45.518;454.64
0;337.22;339.72;-16.22;13.941;456.26;465;10.504;74.74;92.875;127.15;-72.42;-61.522;72.809;69.388;21.967;34.524;412.9
0;338.51;340.53;-9.099;23.831;466.99;467.99;14.873;85.635;126.56;161.87;-42.657;-82.609;74.179;69.288;18.034;39.045;466.99
0;356.8;360.87;-10.933;-15.476;454.4;465.07;12.549;102.12;149;204.53;-44.135;-72.45;52.079;48.358;18.506;41.502;429.66
0;341.31;340.85;11.744;-7.2184;419.59;423;123.63;44.283;111.69;157.29;-76.986;-66.768;55.692;46.871;62.307;31.064;390.69
0;354.68;357.46;-7.6835;20.939;491.85;501.88;15.542;77.394;161.68;196.81;-35.282;-110.13;73.266;71.743;15.434;48.806;459.2
0;346.51;349.72;-11.708;-4.6627;505.46;520.14;34.563;51.422;95.306;122.62;-63.797;-99.434;82.013;81.559;23.372;40.493;505.46
0;333.22;335.96;-4.686;21.289;467.19;476.07;37.742;67.202;129.26;153.32;-49.691;-72.644;77.78;74.878;21.813;34.424;467.19
0;359.04;362.28;8.5026;10.894;461.61;472.7;42.004;107.21;147.39;223.73;-76.048;-108.98;68.432;67.208;28.373;52.895;459.29
0;330.01;333.92;3.1173;9.2613;497.75;505.56;33.778;71.347;104.29;147.65;-25.182;-97.164;86.596;85.44;14.706;38.983;497.75
0;358.01;360.89;0.45512;33.405;472.81;480.64;36.78;96.034;157.46;185.47;-51.706;-66.991;72.969;74.435;23.478;38.089;463.8
0;346.44;348.79;22.087;0.058628;441.74;451.09;51.836;59.886;110.29;152.63;-31.329;-110.72;65.799;62.021;20.58;47.105;417.27
0;341.71;345.28;17.886;2.0036;422.86;436.51;75.442;47.811;126.16;170.91;-30.69;-26.435;50.516;41.707;31.215;21.356;388.99
0;363.04;365.44;-1.8831;14.773;483.3;485.84;64.181;86.694;131.36;157.99;-35.563;-130.66;69.047;67.937;27.436;46.903;461.97
0;328.81;331.95;5.8178;9.0822;471.32;482.86;32.899;77.639;84.731;124.79;-45.653;-77.087;85.066;83.274;19.712;33.716;471.32
0;360.73;363.35;16.799;15.796;479.06;486.41;59.349;87.96;159.35;190.07;-16.316;-133.82;76.555;75.22;19.7;50.459;465.55
0;342.9;345.26;8.4947;4.1119;487.14;489.59;55.166;78.077;88.914;116.72;-50.267;-101.8;86.444;85.288;25.71;43.43;448.84
0;340.13;343.37;1.519;21.92;460.05;466.49;35.008;81.729;129.04;151.56;-47.728;-73.435;77.54;77.828;22.764;34.514;425.61
0;359.07;362.62;21.843;8.2038;480.66;484.39;47.279;111.08;151.47;203.48;-40.231;-100.47;69.396;71.26;23.719;51.261;456.4
1;407.53;359.84;23.386;-113.14;806.82;959.44;122.49;41.718;61.478;-90.542;-144.3;-358.05;247.06;325.38;62.323;96.533;787.2
1;377.49;286.41;4.2858;-68.371;981.85;1159.6;124.21;107.28;135.76;-186.96;-126.31;-215.64;259.14;381.02;66.66;77.608;924.31
1;436.17;388.46;88.679;-115.18;737.88;845.15;298.62;74.71;157.02;27.174;-148.49;-255.14;160.97;244.73;112.07;73.415;728.03
1;416.66;370.81;26.6;-147.21;809.42;925.7;161.51;34.852;102.43;-87.623;-119.5;-313.54;210.85;275.17;68.096;80.8;728.11
